sku,descripcion,categoria,familia,bidfood,central mayorista,interno,jumbo,otros,min_ext,max_ext,fuente_min,fuente_max,gap_min_pct,gap_max_pct
104521730,ARROLLADO JAMON QUESO 2 kg,APERITIVOS,APERITIVOS ORIENTALES,,,10175.0,,11046.218487394959,11046.218487394959,11046.218487394959,otros,otros,0.08562343856461507,0.08562343856461507
104521750,ENTRAÃ‘A S/PIEL CERTIFIED ANGUS BEEF,VACUNO CONGELADO,CARNES CERTIFICADAS,,,39500.0,,,,,,,,
104521770,"CHOCLO GRANO IQF ARDO 2,5 kg",FRUTAS Y VERDURAS CONGELADAS,VERDURAS,,3189.915966386555,2500.0,1680.6722689075632,,1680.6722689075632,3189.915966386555,jumbo,central mayorista,-0.32773109243697474,0.275966386554622
104521820,ARROLLADO PRIMAVERA 2 kg,APERITIVOS,APERITIVOS ORIENTALES,,,7727.5,,6820.168067226891,6820.168067226891,6820.168067226891,otros,otros,-0.11741597318319108,-0.11741597318319108
104521840,"TOCINO LAMINADO SUGARDALE 6,8 kg",JAMONES Y CECINAS,TOCINOS,10549.0,,10439.705882352942,,10250.247157686605,10250.247157686605,10549.0,otros,bidfood,-0.018147898686168396,0.01046908015213388
104521960,ACEITE MARAVILLA MINI RELKON 8 ml,ACEITES Y VINAGRES,MINI PORCIONES,,,4708.333333333334,,7310.9243697479,7310.9243697479,7310.9243697479,otros,otros,0.5527626979995537,0.5527626979995537
104522060,KETCHUP SACHET HELLMANNS 8 G,SALSAS Y ADEREZOS,MINI PORCIONES,,5042.01680672269,5918.560606060606,,11533.613445378152,5042.01680672269,11533.613445378152,central mayorista,otros,-0.14810084033613435,0.9487193277310926
104522080,LIMONETA MINI RELKON 10 ml,SALSAS Y ADEREZOS,MINI PORCIONES,,,2633.3333333333335,,,,,,,,
104522190,SAL MINI PORCION RELKON 1 g,OTROS ABARROTES,MINI PORCIONES,,,3050.0,,5037.81512605042,5037.81512605042,5037.81512605042,otros,otros,0.6517426642788262,0.6517426642788262
104522200,"SUCRALOSA MINI IANSA 0,5 G",OTROS ABARROTES,MINI PORCIONES,,,9450.0,,16789.915966386554,16789.915966386554,16789.915966386554,otros,otros,0.7767106842737095,0.7767106842737095
104522330,SYRUP CARAMELO TORANI 750 ml,CAFE Y DERIVADOS,SYRUPS,,,12083.333333333334,,10486.274509803921,10486.274509803921,10486.274509803921,otros,otros,-0.1321703853955376,-0.1321703853955376
104522370,SYRUP TE CHAI TORANI 750 ml,CAFE Y DERIVADOS,SYRUPS,,,12083.333333333334,,16795.518207282916,16795.518207282916,16795.518207282916,otros,otros,0.38997392060272396,0.38997392060272396
104522380,SYRUP VAINILLA TORANI 750 ml,CAFE Y DERIVADOS,SYRUPS,,,12083.333333333334,,14554.621848739496,14554.621848739496,14554.621848739496,otros,otros,0.2045204288611997,0.2045204288611997
104522460,PIMENTON/AJI COLOR 1 kg,CONDIMENTOS,ESPECIAS,,5117.64705882353,5800.0,8403.361344537816,,5117.64705882353,8403.361344537816,central mayorista,jumbo,-0.11764705882352933,0.44885540423065784
104522520,CHURROS BUCLE AVIKO 1 kg,BOLLERIA,BOLLERIA PARA HORNEAR,,,4550.0,,,,,,,,
104522590,FILTRO PAPEL ICBA BUNN,MAQUINAS Y REPUESTOS,ACCESORIOS,,,193.7,,,,,,,,
104522600,FILTRO PAPEL TITAN BUNN,MAQUINAS Y REPUESTOS,ACCESORIOS,,,75990.0,,,,,,,,
104522620,TRUTRO ALA POLLO INTERF BRASIL 15 Kg,POLLO,TRUTROS,,,4200.0,,,,,,,,
104522660,PAN HAMBURGUESA BRIOCHE 10 CM,BOLLERIA,PANES LISTOS PARA COMER,,,3091.216216216216,,,,,,,,
104523030,DOSIFICADOR SYRUP 750 ml TORANI,MAQUINAS Y REPUESTOS,ACCESORIOS,,,288066.6666666667,,,,,,,,
104523040,MAYONESA SACHET CAROZZI 8 G,SALSAS Y ADEREZOS,MINI PORCIONES,,,3700.0,,4268.90756302521,4268.90756302521,4268.90756302521,otros,otros,0.15375880081762427,0.15375880081762427
104523050,MOSTAZA SACHET CAROZZI 8 G,SALSAS Y ADEREZOS,MINI PORCIONES,,,3025.0,,3130.2521008403364,3130.2521008403364,3130.2521008403364,otros,otros,0.03479408292242536,0.03479408292242536
